femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,hash,id
DR-4705-TX,4705,TX,DR,2023-04-21T00:00:00.000Z,2023,Winter Storm,SEVERE WINTER STORM,False,False,True,True,2023-01-30T00:00:00.000Z,2023-02-02T00:00:00.000Z,,48,453,99453,Travis (County),23043,,2023-04-22T13:01:59.470Z,f630be85391abf296c86fa968ab7baad48a6db78,a32f78a1-b09a-4b4b-b88a-b96d16c68e42
DR-4705-TX,4705,TX,DR,2023-04-21T00:00:00.000Z,2023,Winter Storm,SEVERE WINTER STORM,False,False,True,True,2023-01-30T00:00:00.000Z,2023-02-02T00:00:00.000Z,,48,491,99491,Williamson (County),23043,,2023-04-22T13:01:59.470Z,7a04e86d248f634311557ef20d999396a0f827f9,c70cfebe-9448-4e12-8f32-d4fe52fe9f7c
DR-4705-TX,4705,TX,DR,2023-04-21T00:00:00.000Z,2023,Winter Storm,SEVERE WINTER STORM,False,False,True,True,2023-01-30T00:00:00.000Z,2023-02-02T00:00:00.000Z,,48,51,99051,Burleson (County),23043,,2023-04-22T13:01:59.470Z,369401639e4b4145d3050e8584985d57dd341bf3,fbdd0397-f2a0-43dd-8410-54d4f4189498
DR-4705-TX,4705,TX,DR,2023-04-21T00:00:00.000Z,2023,Winter Storm,SEVERE WINTER STORM,False,False,True,True,2023-01-30T00:00:00.000Z,2023-02-02T00:00:00.000Z,,48,259,99259,Kendall (County),23043,,2023-04-22T13:01:59.470Z,f3b45e14e252160ab77b668bc9b35d8d7080d3c9,daf663e2-5886-4c1b-9427-f672f6ea6332
DR-4705-TX,4705,TX,DR,2023-04-21T00:00:00.000Z,2023,Winter Storm,SEVERE WINTER STORM,False,False,True,True,2023-01-30T00:00:00.000Z,2023-02-02T00:00:00.000Z,,48,31,99031,Blanco (County),23043,,2023-04-22T13:01:59.470Z,cdf0f2f9ebbeeecd8bcbc1d18a3f9d94dcd47d6d,0639029c-0f01-4dab-97ca-50159a0c91bb
DR-4705-TX,4705,TX,DR,2023-04-21T00:00:00.000Z,2023,Winter Storm,SEVERE WINTER STORM,False,False,True,True,2023-01-30T00:00:00.000Z,2023-02-02T00:00:00.000Z,,48,287,99287,Lee (County),23043,,2023-04-22T13:01:59.470Z,193ec85d30dde2bdf516df89584aaaf50debe91b,b7b98981-1ae7-4a44-aeb0-a0b03e54d847
DR-4705-TX,4705,TX,DR,2023-04-21T00:00:00.000Z,2023,Winter Storm,SEVERE WINTER STORM,False,False,True,True,2023-01-30T00:00:00.000Z,2023-02-02T00:00:00.000Z,,48,53,99053,Burnet (County),23043,,2023-04-22T13:01:59.470Z,6eb2976537717f58d143669628be34ba95900c1a,1a393843-62ad-405a-95a7-435427cdc180
DR-4705-TX,4705,TX,DR,2023-04-21T00:00:00.000Z,2023,Winter Storm,SEVERE WINTER STORM,False,False,True,True,2023-01-30T00:00:00.000Z,2023-02-02T00:00:00.000Z,,48,21,99021,Bastrop (County),23043,,2023-04-22T13:01:59.470Z,745203de197501abba646020a888f22dbe0be491,f4772492-cf98-4ac1-976c-961d9243f8f4
DR-4705-TX,4705,TX,DR,2023-04-21T00:00:00.000Z,2023,Winter Storm,SEVERE WINTER STORM,False,False,True,True,2023-01-30T00:00:00.000Z,2023-02-02T00:00:00.000Z,,48,331,99331,Milam (County),23043,,2023-04-22T13:01:59.470Z,6e22936a53b9b176492398b505d4cb5e8c74efda,eccd2fcf-c4b1-4c3e-9007-3be4f5395b3a
DR-4704-IN,4704,IN,DR,2023-04-15T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,False,True,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,,18,119,99119,Owen (County),23039,2023-06-14T00:00:00.000Z,2023-04-24T22:01:56.669Z,f995cfa9657734cb8e9068513abfe75c12f11bcf,0b08bd4a-38dc-4001-a196-891a7c75464e
DR-4704-IN,4704,IN,DR,2023-04-15T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,False,True,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,,18,53,99053,Grant (County),23039,2023-06-14T00:00:00.000Z,2023-04-24T22:01:56.669Z,a4130c2c04d060e022206058aa082ddb59ed3019,83f6e621-9a14-48bd-bb59-5aa343487484
DR-4704-IN,4704,IN,DR,2023-04-15T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,False,True,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,,18,7,99007,Benton (County),23039,2023-06-14T00:00:00.000Z,2023-04-24T22:01:56.669Z,e123cc68c5c9365cdc571ee30d29e97d81e3a221,adc52f5f-2c16-436f-9f79-cae5d1197e6f
DR-4704-IN,4704,IN,DR,2023-04-15T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,False,True,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,,18,23,99023,Clinton (County),23039,2023-06-14T00:00:00.000Z,2023-04-24T22:01:56.669Z,f89d01f5549a4e602e2fc47c5d47a74c56c6cede,ccef5fda-57cf-4dca-bfe0-cc93ad165544
DR-4704-IN,4704,IN,DR,2023-04-15T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,False,True,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,,18,3,99003,Allen (County),23039,2023-06-14T00:00:00.000Z,2023-04-24T22:01:56.669Z,6db2cc30450d0c492a7ba0950f5b998b69ea33e9,cf956194-465b-4685-ba20-23eb1450a1fb
DR-4704-IN,4704,IN,DR,2023-04-15T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,False,True,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,,18,109,99109,Morgan (County),23039,2023-06-14T00:00:00.000Z,2023-04-24T22:01:56.669Z,1c34e0b8bb6eaa6deab9625c331e95d6265ce17a,174656e4-fa2a-449b-b662-f7d4a26bea44
DR-4704-IN,4704,IN,DR,2023-04-15T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,False,True,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,,18,81,99081,Johnson (County),23039,2023-06-14T00:00:00.000Z,2023-04-24T22:01:56.669Z,bdc07b2d7f743845f85bdee1ba15a4df7d3da6c0,6a5df3c6-a894-4bed-b2b2-9cd0e3ba4d48
DR-4704-IN,4704,IN,DR,2023-04-15T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,False,True,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,,18,67,99067,Howard (County),23039,2023-06-14T00:00:00.000Z,2023-04-24T22:01:56.669Z,bddafe2776af4a3774d28d3d4ac05c769c1b0e13,d3ec8d98-422f-47ef-9824-c94c0bc8511e
DR-4704-IN,4704,IN,DR,2023-04-15T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,False,True,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,,18,89,99089,Lake (County),23039,2023-06-14T00:00:00.000Z,2023-04-24T22:01:56.669Z,cd45023185e020ce20d8a1e1397651ab0794ec6c,ba7f023b-97a7-48ea-a63c-80c863325236
DR-4704-IN,4704,IN,DR,2023-04-15T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,False,True,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,,18,105,99105,Monroe (County),23039,2023-06-14T00:00:00.000Z,2023-04-24T22:01:56.669Z,c0e69bc87c687ac5f056e0147d0fee22b794205c,ee8068ca-582b-4b5d-9312-397156eb3e53
DR-4704-IN,4704,IN,DR,2023-04-15T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,False,True,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,,18,181,99181,White (County),23039,2023-06-14T00:00:00.000Z,2023-04-24T22:01:56.669Z,f074597232bc947496154e6197e7105d31fcdbf4,188d31ca-9666-4117-a86f-59469813feaf
DR-4704-IN,4704,IN,DR,2023-04-15T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",True,False,False,True,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,,18,153,99153,Sullivan (County),23039,2023-06-14T00:00:00.000Z,2023-04-24T22:01:56.669Z,ebcb309d574d3ff55367ee724f1f3beeb35f681e,a5820363-b9d6-4f67-ab11-e3091a4ca9f1
FM-5464-RI,5464,RI,FM,2023-04-14T00:00:00.000Z,2023,Fire,EXETER FIRE,False,False,True,True,2023-04-14T00:00:00.000Z,,,44,9,99009,"Washington (County)(in (P)MSA 5520,6480)",23042,,2023-04-19T18:02:06.492Z,74af08b7b9f8da68f4652938a4fec10eeb4c9fc4,35f676e2-d106-44e5-823e-0e177426477b
FM-5463-KS,5463,KS,FM,2023-04-13T00:00:00.000Z,2023,Fire,HADDAM FIRE,False,False,True,True,2023-04-13T00:00:00.000Z,2023-04-16T00:00:00.000Z,,20,201,99201,Washington (County),23038,,2023-04-27T14:21:28.199Z,599da31083c6e3b0358a55845145527f62b85526,4375a70a-a76e-421e-b8ed-d353ce51c1b2
DR-4703-AZ,4703,AZ,DR,2023-04-11T00:00:00.000Z,2023,Severe Storm,SEVERE WINTER STORMS AND FLOODING,False,False,True,True,2023-01-14T00:00:00.000Z,2023-01-17T00:00:00.000Z,,4,0,48845,Navajo Nation Reservation (Also NM and UT),23024,,2023-04-11T20:21:18.326Z,1e95299726a9ef5533f6dc4d0475ab26c76ebeef,074d42f1-7bb9-4cbe-bfd1-95a6bc1f61c3
DR-4702-KY,4702,KY,DR,2023-04-10T00:00:00.000Z,2023,Severe Storm,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",False,False,True,True,2023-03-03T00:00:00.000Z,2023-03-04T00:00:00.000Z,,21,189,99189,Owsley (County),23029,,2023-04-10T20:41:15.756Z,8b19475cf57a78484f3ad0b6016a0741431c3336,c2646621-ae08-433d-aab6-f4a7e1f53c4f
